# address	flags	name   (generated by lifted_oracle_plan.py)
0x0060e610	extcall,iat,indirect,undef=4	??__Fg_CHECKBOX_SPRITE_1@@YAXXZ
0x0060e630	extcall	??__Eg_CHECKBOX_SPRITE_2@@YAXXZ
0x0060e650	extcall,iat,indirect,undef=4	??__Fg_CHECKBOX_SPRITE_2@@YAXXZ
0x0060e670	extcall,fs,iat,indirect,x87	??0CheckBox@@QAE@H@Z
0x0060e740	extcall,fs,iat,indirect,x87	??1CheckBox@@QAE@XZ
0x0060e7c0	extcall,fs,iat,indirect,x87	?close@CheckBox@@QAEXXZ
0x0060e800	extcall,fs,iat,indirect,undef=4,x87	?attach@CheckBox@@QAEHPAUGraphicWin@@HHH@Z
0x0060e980	extcall,iat,indirect,undef=4	?item@CheckBox@@QAEHPADHH@Z
0x0060ea10	undef=4	?flip_state_id@CheckBox@@QAEXH@Z
0x0060eb50	undef=4	?UNK1@CheckBox@@QAEXH@Z
0x0060eb80	undef=4	?set_state_id@CheckBox@@QAEXHH@Z
0x0060ec10	undef=4	?get_state_id@CheckBox@@QAEHH@Z
0x0060ec80	undef=4	?set_state_pos@CheckBox@@QAEXHH@Z
0x0060ecc0	undef=4	?UNK2@CheckBox@@QAEHH@Z
0x0060ece0	indirect	?set_state_flag@CheckBox@@QAEXJ@Z
0x0060ed10	extcall,iat,indirect,undef=4	?calculate_dimensions@CheckBox@@QAEHXZ
0x0060f030	extcall,fs,iat,indirect,x87	?draw_item@CheckBox@@QAEXHHH@Z
0x0060f700	extcall,fs,iat,indirect,x87	?on_left_down@CheckBox@@QAEXHH@Z
0x0060f8b0	extcall,fs,iat,indirect,undef=4,x87	?on_key_down@CheckBox@@QAEHH@Z
0x0060fa80	indirect,undef=4	?on_left_double_click@CheckBox@@QAEXHH@Z
0x0060fab0	extcall,fs,iat,indirect,undef=4,x87	?on_redraw@CheckBox@@QAEXXZ
0x0060fb90	indirect	?on_dialog_focus@CheckBox@@QAEXH@Z
0x0060fbb0	indirect	?on_mouse_move@CheckBox@@QAEXHH@Z
0x0060fc30	indirect	?on_mouse_leave@CheckBox@@QAEXHH@Z
0x0060fc60	extcall,fs,iat,indirect	?init_class@CheckBox@@QAAHXZ
0x0060fd60	extcall,iat,indirect	?close_class@CheckBox@@QAAXXZ
0x0060fd80	extcall,fs,iat,indirect,undef=4,x87	sub_60fd80
0x0060fe40	extcall,fs,iat,indirect,x87	?on_redraw@thunk1_CheckBox@@QAEXXZ
0x0060fe50	indirect	?on_mouse_move@thunk1_CheckBox@@QAEXHH@Z
0x0060fe60	indirect	?on_mouse_leave@thunk1_CheckBox@@QAEXHH@Z
0x0060fe70	extcall,fs,iat,indirect,x87	?on_left_down@thunk1_CheckBox@@QAEXHH@Z
0x0060fe80	extcall,fs,iat,indirect,x87	?on_key_down@thunk1_CheckBox@@QAEHH@Z
0x0060fe90	indirect	?on_left_double_click@thunk1_CheckBox@@QAEXHH@Z
0x0060fea0	indirect	?on_dialog_focus@thunk1_CheckBox@@QAEXH@Z
0x0060feb0	extcall,fs,iat,indirect,undef=4,x87	sub_60feb0
0x0060fed0	extcall,fs,iat,indirect,undef=4,x87	sub_60fed0
