source_idc_sha256,address,end_address,size,body_ranges,name,prototype,flags,binary_kind
42032fc2807f7dec6de1ed6efb9d18a70668a015f23e32d58149c9d9952bc0a7,0x00404560,0x00404576,22,0x00404560-0x00404576,sub_404560,,0x5400,game
42032fc2807f7dec6de1ed6efb9d18a70668a015f23e32d58149c9d9952bc0a7,0x00404580,0x0040458A,10,0x00404580-0x0040458A,unknown_libname_9,void __cdecl unknown_libname_9();,0x5444,library
42032fc2807f7dec6de1ed6efb9d18a70668a015f23e32d58149c9d9952bc0a7,0x00404590,0x004045A6,22,0x00404590-0x004045A6,sub_404590,,0x5400,game
42032fc2807f7dec6de1ed6efb9d18a70668a015f23e32d58149c9d9952bc0a7,0x004045B0,0x004045BA,10,0x004045B0-0x004045BA,unknown_libname_10,void __cdecl unknown_libname_10();,0x5444,library
42032fc2807f7dec6de1ed6efb9d18a70668a015f23e32d58149c9d9952bc0a7,0x004045C0,0x004045D6,22,0x004045C0-0x004045D6,sub_4045C0,,0x5400,game
42032fc2807f7dec6de1ed6efb9d18a70668a015f23e32d58149c9d9952bc0a7,0x004045E0,0x004045EA,10,0x004045E0-0x004045EA,unknown_libname_11,void __cdecl unknown_libname_11();,0x5444,library
42032fc2807f7dec6de1ed6efb9d18a70668a015f23e32d58149c9d9952bc0a7,0x004045F0,0x00404606,22,0x004045F0-0x00404606,sub_4045F0,,0x5400,game
42032fc2807f7dec6de1ed6efb9d18a70668a015f23e32d58149c9d9952bc0a7,0x00404610,0x0040461A,10,0x00404610-0x0040461A,unknown_libname_12,void __cdecl unknown_libname_12();,0x5444,library
42032fc2807f7dec6de1ed6efb9d18a70668a015f23e32d58149c9d9952bc0a7,0x00404620,0x00404636,22,0x00404620-0x00404636,sub_404620,,0x5400,game
42032fc2807f7dec6de1ed6efb9d18a70668a015f23e32d58149c9d9952bc0a7,0x00404640,0x0040464A,10,0x00404640-0x0040464A,unknown_libname_13,void __cdecl unknown_libname_13();,0x5444,library
42032fc2807f7dec6de1ed6efb9d18a70668a015f23e32d58149c9d9952bc0a7,0x00404650,0x00404666,22,0x00404650-0x00404666,sub_404650,,0x5400,game
42032fc2807f7dec6de1ed6efb9d18a70668a015f23e32d58149c9d9952bc0a7,0x00404670,0x0040467A,10,0x00404670-0x0040467A,unknown_libname_14,void __cdecl unknown_libname_14();,0x5444,library
42032fc2807f7dec6de1ed6efb9d18a70668a015f23e32d58149c9d9952bc0a7,0x00404680,0x00404696,22,0x00404680-0x00404696,sub_404680,,0x5400,game
42032fc2807f7dec6de1ed6efb9d18a70668a015f23e32d58149c9d9952bc0a7,0x004046A0,0x004046AA,10,0x004046A0-0x004046AA,unknown_libname_15,void __cdecl unknown_libname_15();,0x5444,library
42032fc2807f7dec6de1ed6efb9d18a70668a015f23e32d58149c9d9952bc0a7,0x004046B0,0x004046C6,22,0x004046B0-0x004046C6,sub_4046B0,,0x5400,game
42032fc2807f7dec6de1ed6efb9d18a70668a015f23e32d58149c9d9952bc0a7,0x004046D0,0x004046DA,10,0x004046D0-0x004046DA,unknown_libname_16,void __cdecl unknown_libname_16();,0x5444,library
42032fc2807f7dec6de1ed6efb9d18a70668a015f23e32d58149c9d9952bc0a7,0x004046E0,0x004046F6,22,0x004046E0-0x004046F6,sub_4046E0,,0x5400,game
42032fc2807f7dec6de1ed6efb9d18a70668a015f23e32d58149c9d9952bc0a7,0x00404700,0x0040470A,10,0x00404700-0x0040470A,unknown_libname_17,void __cdecl unknown_libname_17();,0x5444,library
42032fc2807f7dec6de1ed6efb9d18a70668a015f23e32d58149c9d9952bc0a7,0x00404710,0x00404726,22,0x00404710-0x00404726,sub_404710,,0x5400,game
42032fc2807f7dec6de1ed6efb9d18a70668a015f23e32d58149c9d9952bc0a7,0x00404730,0x0040473A,10,0x00404730-0x0040473A,unknown_libname_18,void __cdecl unknown_libname_18();,0x5444,library
42032fc2807f7dec6de1ed6efb9d18a70668a015f23e32d58149c9d9952bc0a7,0x00404740,0x00404756,22,0x00404740-0x00404756,sub_404740,,0x5400,game
