class,offset,name,size,type
AlphaNet,0xC0C,field_C0C,4,
AlphaNet,0xC10,field_C10,4,
AlphaNet,0xC14,field_C14,4,
AlphaNet,0xC18,field_C18,4,
AlphaNet,0xC1C,field_C1C,4,
AlphaNet,0xC20,field_C20,4,
AlphaNet,0xC24,field_C24,4,
AlphaNet,0xC28,field_C28,4,
AlphaNet,0xC2C,field_C2C,4,
AlphaNet,0xC30,field_C30,4,
AlphaNet,0xC34,field_C34,4,
AlphaNet,0xC38,field_C38,4,
AlphaNet,0xC3C,field_C3C,4,
AlphaNet,0xC40,field_C40,4,
AlphaNet,0xC44,field_C44,4,
AlphaNet,0xC48,field_C48,4,
AlphaNet,0xC4C,field_C4C,4,
AlphaNet,0xC50,field_C50,4,
AlphaNet,0xC54,field_C54,4,
AlphaNet,0xC58,field_C58,4,
AlphaNet,0xC5C,field_C5C,4,
AlphaNet,0xC60,field_C60,4,
AlphaNet,0xC64,field_C64,4,
AlphaNet,0xC68,field_C68,4,
AlphaNet,0xC6C,field_C6C,4,
AlphaNet,0xC70,field_C70,4,
AlphaNet,0xC74,field_C74,4,
AlphaNet,0xC78,field_C78,4,
AlphaNet,0xC7C,field_C7C,4,
AlphaNet,0xC80,field_C80,4,
AlphaNet,0xC84,field_C84,4,
AlphaNet,0xC88,field_C88,4,
AlphaNet,0xC8C,field_C8C,4,
AlphaNet,0xC90,field_C90,4,
AlphaNet,0xC94,field_C94,4,
AlphaNet,0xC98,field_C98,4,
AlphaNet,0xC9C,field_C9C,4,
AlphaNet,0xCA0,field_CA0,4,
AlphaNet,0xCA4,field_CA4,4,
AlphaNet,0xCA8,field_CA8,4,
AlphaNet,0xCAC,field_CAC,4,
AlphaNet,0xCB0,field_CB0,4,
AlphaNet,0xCB4,field_CB4,4,
AlphaNet,0xCB8,field_CB8,4,
AlphaNet,0xCBC,field_CBC,4,
AlphaNet,0xCC0,field_CC0,4,
AlphaNet,0xCC4,field_CC4,4,
AlphaNet,0xCC8,field_CC8,4,
AlphaNet,0xCCC,field_CCC,4,
AlphaNet,0xCD0,field_CD0,4,
AlphaNet,0xCD4,field_CD4,4,
AlphaNet,0xCD8,field_CD8,4,
AlphaNet,0xCDC,field_CDC,4,
AlphaNet,0xCE0,field_CE0,4,
AlphaNet,0xCE4,field_CE4,4,
AlphaNet,0xCE8,field_CE8,4,
AlphaNet,0xCEC,field_CEC,4,
AlphaNet,0xCF0,field_CF0,4,
AlphaNet,0xCF4,field_CF4,4,
AlphaNet,0xCF8,field_CF8,4,
AlphaNet,0xCFC,field_CFC,4,
AlphaNet,0xD00,field_D00,4,
AlphaNet,0xD04,field_D04,4,
AlphaNet,0xD08,field_D08,4,
AlphaNet,0xD0C,field_D0C,4,
AlphaNet,0xD10,field_D10,4,
AlphaNet,0xD14,field_D14,4,
AlphaNet,0xD18,field_D18,4,
AlphaNet,0xD1C,field_D1C,4,
AlphaNet,0xD20,field_D20,4,
AlphaNet,0xD24,field_D24,4,
AlphaNet,0xD28,field_D28,4,
AlphaNet,0xD2C,field_D2C,4,
AlphaNet,0xD30,field_D30,4,
AlphaNet,0xD34,field_D34,4,
AlphaNet,0xD38,field_D38,4,
AlphaNet,0xD3C,field_D3C,4,
AlphaNet,0xD40,field_D40,4,
AlphaNet,0xD44,field_D44,4,
AlphaNet,0xD48,field_D48,4,
AlphaNet,0xD4C,field_D4C,4,
AlphaNet,0xD50,field_D50,4,
AlphaNet,0xD54,field_D54,4,
AlphaNet,0xD58,field_D58,4,
AlphaNet,0xD5C,field_D5C,4,
AlphaNet,0xD60,field_D60,4,
AlphaNet,0xD64,field_D64,4,
AlphaNet,0xD68,field_D68,4,
AlphaNet,0xD6C,field_D6C,4,
AlphaNet,0xD70,field_D70,4,
AlphaNet,0xD74,field_D74,4,
AlphaNet,0xD78,field_D78,4,
AlphaNet,0xD7C,field_D7C,4,
AlphaNet,0xD80,field_D80,4,
AlphaNet,0xD84,field_D84,4,
AlphaNet,0xD88,field_D88,4,
AlphaNet,0xD8C,field_D8C,4,
AlphaNet,0xD90,field_D90,4,
AlphaNet,0xD94,field_D94,4,
AlphaNet,0xD98,field_D98,4,
AlphaNet,0xD9C,field_D9C,4,
AlphaNet,0xDA0,field_DA0,4,
AlphaNet,0xDA4,field_DA4,4,
AlphaNet,0xDA8,field_DA8,4,
AlphaNet,0xDAC,field_DAC,4,
AlphaNet,0xDB0,field_DB0,4,
AlphaNet,0xDB4,field_DB4,4,
AlphaNet,0xDB8,field_DB8,4,
AlphaNet,0xDBC,field_DBC,4,
AlphaNet,0xDC0,field_DC0,4,
AlphaNet,0xDC4,field_DC4,4,
AlphaNet,0xDC8,field_DC8,4,
AlphaNet,0xDCC,field_DCC,4,
AlphaNet,0xDD0,field_DD0,4,
AlphaNet,0xDD4,field_DD4,4,
AlphaNet,0xDD8,field_DD8,4,
