address,name,source_location,generated,size,span_classes,tier,original_bytes,rebuilt_bytes,original_mnemonics,rebuilt_mnemonics,first_divergence,note,refusal_reason
0x00614C40,?on_double_clicked@FileWin@@QAEXH@Z,src/filewin.cpp:67,0,8,primary=1;eh=0;shared=0;selfmod=0,BYTE_EXACT,8,8,,,,,
0x00614C50,?filebox_draw@FileWin@@QAAXPAUGraphicWin@@HHHHH@Z,src/recovered/units/00614c50.cpp,0,308,primary=1;eh=0;shared=0;selfmod=0,BYTE_EXACT,308,308,,,,,
0x00614E30,?close_class@FileWin@@QAAXXZ,src/recovered/units/00614e30.cpp,0,29,primary=1;eh=0;shared=0;selfmod=0,BYTE_EXACT,29,29,,,,,
0x00614FE0,?init@EditBox@@QAEHHHHHPAUWin@@H@Z,,0,409,primary=1;eh=0;shared=0;selfmod=0,MISMATCH,409,5,116,2,0,#0: original 'push' vs rebuilt 'xor',
0x00615180,?UNK1@EditBox@@QAEHPAUFont@@HHHPAUWin@@@Z,src/recovered/units/00615180.cpp,0,86,primary=1;eh=0;shared=0;selfmod=0,BYTE_EXACT,86,86,,,,,
0x00615270,?on_redraw@EditBox@@QAEXXZ,src/recovered/units/00615270.cpp,0,951,primary=1;eh=0;shared=0;selfmod=0,MISMATCH,951,891,300,308,0,#0: original 'sub' vs rebuilt 'push',
0x00615630,?on_key_click@EditBox@@QAEHHH@Z,,0,521,primary=1;eh=0;shared=0;selfmod=0,MISMATCH,521,5,148,2,0,#0: original 'push' vs rebuilt 'xor',
0x00615840,?on_key_down@EditBox@@QAEHH@Z,,0,1331,primary=1;eh=0;shared=0;selfmod=0,MISMATCH,1331,5,375,2,0,#0: original 'mov' vs rebuilt 'xor',
0x00615DF0,?on_dialog_focus@EditBox@@QAEXH@Z,src/recovered/00615df0.cpp,0,65,primary=1;eh=0;shared=0;selfmod=0,BYTE_EXACT,65,65,,,,,
0x00615E40,?caret_callback@EditBox@@QAEXH@Z,src/recovered/units/00615e40.cpp,0,31,primary=1;eh=0;shared=0;selfmod=0,MISMATCH,31,35,8,10,2,#2: original 'mov' vs rebuilt 'push',
0x00615E60,?on_left_down@EditBox@@QAEXHH@Z,src/recovered/units/00615e60.cpp,0,85,primary=1;eh=0;shared=0;selfmod=0,BYTE_EXACT,85,85,,,,,
0x00615EC0,?on_left_up@EditBox@@QAEXHH@Z,src/recovered/00615ec0.cpp,0,77,primary=1;eh=0;shared=0;selfmod=0,BYTE_EXACT,77,77,,,,,
0x00615F10,?on_mouse_move@EditBox@@QAEXHH@Z,src/recovered/00615f10.cpp,0,62,primary=1;eh=0;shared=0;selfmod=0,BYTE_EXACT,62,62,,,,,
0x00616030,?text_position@EditBox@@QAEXH@Z,src/recovered/units/00616030.cpp,0,261,primary=1;eh=0;shared=0;selfmod=0,MISMATCH,261,279,85,91,67,#67: original 'jl' vs rebuilt 'jge',
0x00616140,?pass_dialog_focus@EditBox@@QAEXXZ,src/recovered/units/00616140.cpp,0,86,primary=1;eh=0;shared=0;selfmod=0,MISMATCH,86,77,22,21,12,#12: original 'mov' vs rebuilt 'test',
0x006161A0,?UNK2@EditBox@@QAEXXZ,src/leaf_recoveries.cpp:930,0,42,primary=1;eh=0;shared=0;selfmod=0,NO_COMPILE,,,,,,,u006161a0.cpp(320) : error C2065: 'win_is_dialog_focus_redirect' : undeclared identifier
