verdict,class,offset,built,detail,evidence
absent,Dialogs,0xF8,EditGroup,0xB98 bytes,??0Dialogs@@QAE@H@Z: call ??0EditGroup@@QAE@H@Z on this+0xF8 at 0x00612900
agreed,Dialogs,0x188,GraphicWin,virtual_base_ 0xA14,??0Dialogs@@QAE@H@Z: call ??0GraphicWin@@QAE@XZ on this+0x188 at 0x0061288A
agreed,Dialogs,0xBA0,Dialog,dialog_ 0xF4,??0Dialogs@@QAE@H@Z: call ??0Dialog@@QAE@XZ on this+0xBA0 at 0x006128A5
at-zero,DipEdit,0x0,GraphicWin,src/ bases: [],??1DipEdit@@QAE@XZ: call ??1GraphicWin@@QAE@XZ on this+0x0 at 0x004E23A4
mistyped,DipEdit,0xA24,Font,"declared `uint8_t unmapped_A24_`, 0x43EC bytes against 0x28",??1DipEdit@@QAE@XZ: call ??1Font@@QAE@XZ on this+0xA24 at 0x004E2396
absent,DipEdit,0xA4C,ListBox,0xB54 bytes,?init@DipEdit@@QAEXH@Z: call ?close@ListBox@@QAEXXZ on this+0xA4C at 0x004DB2BF
absent,DipEdit,0xA94,ListBox,0xB54 bytes,??1DipEdit@@QAE@XZ: call ??1ListBox@@QAE@XZ on this+0xA94 at 0x004E2375
absent,DipEdit,0x14AC,Dialog,0xF4 bytes,??1DipEdit@@QAE@XZ: call ??1Dialog@@QAE@XZ on this+0x14AC at 0x004E2380
absent,DipEdit,0x15A0,CheckBox,0xB28 bytes,?init@DipEdit@@QAEXH@Z: call ?close@CheckBox@@QAEXXZ on this+0x15A0 at 0x004DB440
absent,DipEdit,0x15BC,CheckBox,0xB28 bytes,??1DipEdit@@QAE@XZ: call ??1CheckBox@@QAE@XZ on this+0x15BC at 0x004E2352
absent,DipEdit,0x1FD4,Dialog,0xF4 bytes,??1DipEdit@@QAE@XZ: call ??1Dialog@@QAE@XZ on this+0x1FD4 at 0x004E235D
absent,DipEdit,0x20C8,FlatButton,0xB4C bytes,??1DipEdit@@QAE@XZ: call ?close@FlatButton@@QAEXXZ on this+0x20C8 at 0x004E2336
absent,DipEdit,0x2C14,FlatButton,0xB4C bytes,??1DipEdit@@QAE@XZ: call ?close@FlatButton@@QAEXXZ on this+0x2C14 at 0x004E230B
absent,DipEdit,0x3760,FlatButton,0xB4C bytes,??1DipEdit@@QAE@XZ: call ?close@FlatButton@@QAEXXZ on this+0x3760 at 0x004E22E0
absent,DipEdit,0x42AC,FlatButton,0xB4C bytes,??1DipEdit@@QAE@XZ: call ?close@FlatButton@@QAEXXZ on this+0x42AC at 0x004E22B5
absent,DipEdit,0x4DF8,FlatButton,0xB4C bytes,??1DipEdit@@QAE@XZ: call ?close@FlatButton@@QAEXXZ on this+0x4DF8 at 0x004E228A
base,DiploPop,0x0,GraphicWin,"src/ bases: ['GraphicWin', 'SubInterface', 'Win']",??0DiploPop@@QAE@XZ: call ??0GraphicWin@@QAE@XZ on this+0x0 at 0x0043F00F
agreed,DiploPop,0xA1C,Font,font1_ 0x28,??0DiploPop@@QAE@XZ: call ??0Font@@QAE@XZ on this+0xA1C at 0x0043F02B
agreed,DiploPop,0xA44,Font,font2_ 0x28,??0DiploPop@@QAE@XZ: call ??0Font@@QAE@XZ on this+0xA44 at 0x0043F03A
agreed,DiploPop,0xA6C,Font,font3_ 0x28,??0DiploPop@@QAE@XZ: call ??0Font@@QAE@XZ on this+0xA6C at 0x0043F049
absent,DiploPop,0xA98,Time,0x28 bytes,??0DiploPop@@QAE@XZ: call ??0Time@@QAE@XZ on this+0xA98 at 0x0043F058
absent,DiploPop,0xAC0,Time,0x28 bytes,??0DiploPop@@QAE@XZ: call ??0Time@@QAE@XZ on this+0xAC0 at 0x0043F067
absent,DiploPop,0xAE8,Flic,0xAE4 bytes,??0DiploPop@@QAE@XZ: call ??0Flic@@QAE@XZ on this+0xAE8 at 0x0043F076
absent,DiploPop,0xAEC,Buffer,0x588 bytes,??1DiploPop@@QAE@XZ: call ??1Buffer@@QAE@XZ on this+0xAEC at 0x00440E4D
absent,DiploPop,0x10A4,Palette,0x454 bytes,??1DiploPop@@QAE@XZ: call ??1Palette@@QAE@XZ on this+0x10A4 at 0x00440E41
absent,DiploPop,0x15CC,Flic,0xAE4 bytes,??0DiploPop@@QAE@XZ: call ??0Flic@@QAE@XZ on this+0x15CC at 0x0043F085
absent,DiploPop,0x15D0,Buffer,0x588 bytes,??1DiploPop@@QAE@XZ: call ??1Buffer@@QAE@XZ on this+0x15D0 at 0x00440E1E
absent,DiploPop,0x1B88,Palette,0x454 bytes,??1DiploPop@@QAE@XZ: call ??1Palette@@QAE@XZ on this+0x1B88 at 0x00440E12
base,DiploWin,0x0,GraphicWin,"src/ bases: ['GraphicWin', 'Win']",?exec@DiploWin@@QAEXHH@Z: call ?close@GraphicWin@@QAEXXZ on this+0x0 at 0x00444D7D
agreed,DiploWin,0xED0,Spot,spot_ 0xC,??1DiploWin@@QAE@XZ: call ??1Spot@@QAE@XZ on this+0xED0 at 0x00444F8E
agreed,DiploWin,0xA388,StringBox,stringBox_ 0x2BA0,??1DiploWin@@QAE@XZ: call ?close@StringBox@@QAEXXZ on this+0xA388 at 0x00444E5A
absent,DiploWin,0xADA8,Scroll,0x214C bytes,??1DiploWin@@QAE@XZ: call ?close@Scroll@@QAEXXZ on this+0xADA8 at 0x00444EF1
absent,DiploWin,0xB854,FlatButton,0xB4C bytes,??1DiploWin@@QAE@XZ: call ?close@FlatButton@@QAEXXZ on this+0xB854 at 0x00444F41
absent,DiploWin,0xC3A0,FlatButton,0xB4C bytes,??1DiploWin@@QAE@XZ: call ?close@FlatButton@@QAEXXZ on this+0xC3A0 at 0x00444F13
agreed,DiploWin,0xCF28,ListBox,listBox_ 0xB54,??0DiploWin@@QAE@XZ: call ??0ListBox@@QAE@H@Z on this+0xCF28 at 0x0044503C
absent,DiploWin,0xCF70,ListBox,0xB54 bytes,??1DiploWin@@QAE@XZ: call ??1ListBox@@QAE@XZ on this+0xCF70 at 0x00444E24
absent,DiploWin,0xD988,Dialog,0xF4 bytes,??1DiploWin@@QAE@XZ: call ??1Dialog@@QAE@XZ on this+0xD988 at 0x00444E2F
agreed,DiploWin,0xDA7C,EditBox,editBox_ 0xB74,??1DiploWin@@QAE@XZ: call ?close@EditBox@@QAEXXZ on this+0xDA7C at 0x00444DF9
absent,DiploWin,0xE5C8,Time,0x28 bytes,??1DiploWin@@QAE@XZ: call ??1Time@@QAE@XZ on this+0xE5C8 at 0x00444E08
at-zero,EditBox,0x0,GraphicWin,src/ bases: [],??1EditBox@@QAE@XZ: call ??1GraphicWin@@QAE@XZ on this+0x0 at 0x00408063
agreed,EditBox,0xB4C,Time,time_ 0x28,??1EditBox@@QAE@XZ: call ??1Time@@QAE@XZ on this+0xB4C at 0x00408055
agreed,EditGroup,0x8C,GraphicWin,virtual_base_ 0xA14,??0EditGroup@@QAE@H@Z: call ??0GraphicWin@@QAE@XZ on this+0x8C at 0x0061197A
agreed,EditGroup,0xAA4,Dialog,dialog_ 0xF4,??0EditGroup@@QAE@H@Z: call ??0Dialog@@QAE@XZ on this+0xAA4 at 0x00611991
at-zero,Effect,0x0,Wave,src/ bases: [],??0Effect@@QAE@XZ: call ??0Wave@@QAE@XZ on this+0x0 at 0x004482D3
base,FactionAmbience,0x0,Ambience,src/ bases: ['Ambience'],??0FactionAmbience@@QAE@XZ: call ??0Ambience@@QAE@XZ on this+0x0 at 0x004471F3
agreed,FactionArt,0x478,Sprite,council_small 0x2C,??0FactionArt@@QAE@XZ: call ??0Sprite@@QAE@XZ on this+0x478 at 0x00455F6E
agreed,FactionArt,0x4A4,Sprite,council_big 0x2C,??0FactionArt@@QAE@XZ: call ??0Sprite@@QAE@XZ on this+0x4A4 at 0x00455F7D
agreed,FactionArt,0x4D0,Sprite,diplomacy 0x2C,??0FactionArt@@QAE@XZ: call ??0Sprite@@QAE@XZ on this+0x4D0 at 0x00455F8C
agreed,FactionArt,0x4FC,Sprite,diplomacy_logo 0x2C,??0FactionArt@@QAE@XZ: call ??0Sprite@@QAE@XZ on this+0x4FC at 0x00455F9B
agreed,FactionArt,0x528,Sprite,diplomacy_landscape 0x2C,??0FactionArt@@QAE@XZ: call ??0Sprite@@QAE@XZ on this+0x528 at 0x00455FAA
agreed,FactionArt,0x554,Sprite,datalink 0x2C,??0FactionArt@@QAE@XZ: call ??0Sprite@@QAE@XZ on this+0x554 at 0x00455FB9
