program_sha256,ghidra_version,language,address,end_address,size,body_ranges,name,signature,calling_convention,is_thunk
01901cbf7196b0c5d0df9540a029520f5df8fd9a6b343deef8b5663872805fcf,12.1.2,x86:LE:32:default,0x00406A90,0x00406AE3,83,"0x00406A90-0x00406AE3","FUN_00406a90","undefined FUN_00406a90()",unknown,false
01901cbf7196b0c5d0df9540a029520f5df8fd9a6b343deef8b5663872805fcf,12.1.2,x86:LE:32:default,0x00406AF0,0x00406B16,38,"0x00406AF0-0x00406B16","FUN_00406af0","undefined FUN_00406af0()",unknown,false
01901cbf7196b0c5d0df9540a029520f5df8fd9a6b343deef8b5663872805fcf,12.1.2,x86:LE:32:default,0x00406B40,0x00406B61,33,"0x00406B40-0x00406B61","FUN_00406b40","undefined FUN_00406b40()",unknown,false
01901cbf7196b0c5d0df9540a029520f5df8fd9a6b343deef8b5663872805fcf,12.1.2,x86:LE:32:default,0x00406B70,0x00406B9C,44,"0x00406B70-0x00406B9C","FUN_00406b70","undefined FUN_00406b70()",unknown,false
01901cbf7196b0c5d0df9540a029520f5df8fd9a6b343deef8b5663872805fcf,12.1.2,x86:LE:32:default,0x00406BA0,0x00406BCC,44,"0x00406BA0-0x00406BCC","FUN_00406ba0","undefined FUN_00406ba0()",unknown,false
01901cbf7196b0c5d0df9540a029520f5df8fd9a6b343deef8b5663872805fcf,12.1.2,x86:LE:32:default,0x00406BD0,0x00406BF1,33,"0x00406BD0-0x00406BF1","FUN_00406bd0","undefined FUN_00406bd0()",unknown,false
01901cbf7196b0c5d0df9540a029520f5df8fd9a6b343deef8b5663872805fcf,12.1.2,x86:LE:32:default,0x00406C00,0x00406E52,594,"0x00406C00-0x00406E52","FUN_00406c00","undefined FUN_00406c00()",unknown,false
01901cbf7196b0c5d0df9540a029520f5df8fd9a6b343deef8b5663872805fcf,12.1.2,x86:LE:32:default,0x00406E60,0x00406F1A,186,"0x00406E60-0x00406F1A","FUN_00406e60","undefined FUN_00406e60()",unknown,false
01901cbf7196b0c5d0df9540a029520f5df8fd9a6b343deef8b5663872805fcf,12.1.2,x86:LE:32:default,0x00406F20,0x00406F41,33,"0x00406F20-0x00406F41","FUN_00406f20","undefined FUN_00406f20()",unknown,false
01901cbf7196b0c5d0df9540a029520f5df8fd9a6b343deef8b5663872805fcf,12.1.2,x86:LE:32:default,0x00406F60,0x00406FE2,130,"0x00406F60-0x00406FE2","FUN_00406f60","undefined FUN_00406f60()",unknown,false
01901cbf7196b0c5d0df9540a029520f5df8fd9a6b343deef8b5663872805fcf,12.1.2,x86:LE:32:default,0x00407100,0x00407141,65,"0x00407100-0x00407141","FUN_00407100","undefined FUN_00407100()",unknown,false
01901cbf7196b0c5d0df9540a029520f5df8fd9a6b343deef8b5663872805fcf,12.1.2,x86:LE:32:default,0x004072D0,0x00407348,120,"0x004072D0-0x00407348","FUN_004072d0","undefined FUN_004072d0()",unknown,false
