address,name,shape
0x00432840,??3Datalink@@SAXPAXI@Z,loop
0x00432850,??__Eg_DESIGNWIN@@YAXXZ,seam_forwarding
0x00432870,??__Fg_DESIGNWIN@@YAXXZ,seam_forwarding
0x00432880,??__Eg_DESIGNWIN_WAVE@@YAXXZ,seam_forwarding
0x004328A0,??__Fg_DESIGNWIN_WAVE@@YAXXZ,seam_forwarding
0x00432970,?close@SelectPartWin@@QAEXXZ,straight_line
0x00433F50,?on_scrolling@SelectPartWin@@QAEXHH@Z,straight_line
0x004345C0,?UNK1@DesignWin@@QAEXXZ,straight_line
0x00437BE0,?on_mouse_leave@DesignWin@@QAEXHH@Z,straight_line
0x0043D330,?on_iface_left_down@DesignWin@@QAEXHH@Z,straight_line
0x0043D340,?on_iface_right_down@DesignWin@@QAEXHH@Z,straight_line
0x0043D400,?on_iface_selected@DesignWin@@QAEXHH@Z,straight_line
0x0043D410,?on_iface_left_double_click@DesignWin@@QAEXHH@Z,straight_line
0x0043D420,?on_iface_right_double_click@DesignWin@@QAEXHH@Z,straight_line
0x0043D470,?on_iface_button_toggled@DesignWin@@QAEXHH@Z,straight_line
0x0043D480,?on_iface_group_clicked@DesignWin@@QAEXHHH@Z,straight_line
0x0043EDB0,??_GDesignWin@@UAEPAXI@Z,straight_line
0x0043EDE0,??_GSelectPartWin@@UAEPAXI@Z,straight_line
0x0043EF70,?start@Popup@@QAEXPADPBDHPADH@Z,straight_line
0x0043EFA0,??3DesignWin@@SAXPAXI@Z,loop
0x0043EFB0,??3SelectPartWin@@SAXPAXI@Z,loop
0x0043EFC0,??__Eg_DIPLOPOP@@YAXXZ,seam_forwarding
0x0043EFE0,??__Fg_DIPLOPOP@@YAXXZ,seam_forwarding
0x004404C0,?on_iface_left_click@DiploPop@@QAEXHH@Z,straight_line
0x004404D0,?on_iface_right_click@DiploPop@@QAEXHH@Z,straight_line
0x004404E0,?on_iface_left_down@DiploPop@@QAEXHH@Z,straight_line
0x004404F0,?on_iface_right_down@DiploPop@@QAEXHH@Z,straight_line
0x00440500,?on_iface_mouse_move@DiploPop@@QAEXHH@Z,straight_line
0x00440510,?on_iface_mouse_leave@DiploPop@@QAEXHH@Z,straight_line
0x00440520,?on_iface_selected@DiploPop@@QAEXHH@Z,straight_line
0x00440530,?on_iface_left_double_click@DiploPop@@QAEXHH@Z,straight_line
0x00440540,?on_iface_right_double_click@DiploPop@@QAEXHH@Z,straight_line
0x00440610,?on_iface_button_toggled@DiploPop@@QAEXHH@Z,straight_line
0x00440EC0,??_GDiploPop@@UAEPAXI@Z,straight_line
0x00440EF0,??3DiploPop@@SAXPAXI@Z,loop
0x00440F00,??__Eg_DIPLOWIN@@YAXXZ,seam_forwarding
0x00440F20,??__Fg_DIPLOWIN@@YAXXZ,seam_forwarding
0x004413B0,?UNK2@DiploWin@@QAEXXZ,straight_line
0x004413C0,?UNK3@DiploWin@@QAEXH@Z,straight_line
0x004429F0,?UNK4@DiploWin@@QAEXH@Z,straight_line
0x00442A00,?UNK5@DiploWin@@QAEXXZ,straight_line
0x00443D80,?on_iface_left_click@DiploWin@@QAEXHH@Z,straight_line
0x00443D90,?on_iface_left_up@DiploWin@@QAEXHH@Z,straight_line
0x00443DA0,?on_iface_right_click@DiploWin@@QAEXHH@Z,straight_line
0x00443DB0,?on_iface_left_down@DiploWin@@QAEXHH@Z,straight_line
0x00443DC0,?on_iface_right_down@DiploWin@@QAEXHH@Z,straight_line
0x00443DD0,?on_iface_mouse_move@DiploWin@@QAEXHH@Z,straight_line
0x00443DE0,?on_iface_mouse_leave@DiploWin@@QAEXHH@Z,straight_line
0x00443DF0,?on_iface_selected@DiploWin@@QAEXHH@Z,straight_line
0x00443E00,?on_iface_left_double_click@DiploWin@@QAEXHH@Z,straight_line
0x00443E10,?on_iface_right_double_click@DiploWin@@QAEXHH@Z,straight_line
0x00443E20,?on_iface_button_clicked@DiploWin@@QAEXH@Z,straight_line
