struct,offset,field,size
BaseWindow,0xCDC,field_CDC,4
BaseWindow,0xCE0,field_CE0,4
BaseWindow,0xCE4,field_CE4,4
BaseWindow,0xCE8,field_CE8,4
BaseWindow,0xCEC,field_CEC,4
BaseWindow,0xCF0,field_CF0,4
BaseWindow,0xCF4,field_CF4,4
BaseWindow,0xCF8,field_CF8,4
BaseWindow,0xCFC,field_CFC,4
BaseWindow,0xD00,field_D00,4
BaseWindow,0xD04,field_D04,4
BaseWindow,0xD08,field_D08,4
BaseWindow,0xD0C,field_D0C,4
BaseWindow,0xD10,field_D10,4
BaseWindow,0xD14,field_D14,4
BaseWindow,0xD18,field_D18,4
BaseWindow,0xD1C,field_D1C,4
BaseWindow,0xD20,field_D20,4
BaseWindow,0xD24,field_D24,4
BaseWindow,0xD28,field_D28,4
BaseWindow,0xD2C,field_D2C,4
BaseWindow,0xD30,field_D30,4
BaseWindow,0xD34,field_D34,4
BaseWindow,0xD38,field_D38,4
BaseWindow,0xD3C,field_D3C,4
BaseWindow,0xD40,field_D40,4
BaseWindow,0xD44,field_D44,4
BaseWindow,0xD48,field_D48,4
BaseWindow,0xD4C,field_D4C,4
BaseWindow,0xD50,field_D50,4
BaseWindow,0xD54,field_D54,4
BaseWindow,0xD58,field_D58,4
BaseWindow,0xD5C,field_D5C,4
BaseWindow,0xD60,field_D60,4
BaseWindow,0xD64,field_D64,4
BaseWindow,0xD68,field_D68,4
BaseWindow,0xD6C,field_D6C,4
BaseWindow,0xD70,field_D70,4
BaseWindow,0xD74,field_D74,4
BaseWindow,0xD78,field_D78,4
BaseWindow,0xD7C,field_D7C,4
BaseWindow,0xD80,field_D80,4
BaseWindow,0xD84,field_D84,4
BaseWindow,0xD88,field_D88,4
BaseWindow,0xD8C,field_D8C,4
BaseWindow,0xD90,field_D90,4
BaseWindow,0xD94,field_D94,4
BaseWindow,0xD98,field_D98,4
BaseWindow,0xD9C,field_D9C,4
BaseWindow,0xDA0,field_DA0,4
BaseWindow,0xDA4,field_DA4,4
BaseWindow,0xDA8,field_DA8,4
BaseWindow,0xDAC,field_DAC,4
BaseWindow,0xDB0,field_DB0,4
BaseWindow,0xDB4,field_DB4,4
BaseWindow,0xDB8,field_DB8,4
BaseWindow,0xDBC,field_DBC,4
BaseWindow,0xDC0,field_DC0,4
BaseWindow,0xDC4,field_DC4,4
BaseWindow,0xDC8,field_DC8,4
BaseWindow,0xDCC,field_DCC,4
BaseWindow,0xDD0,field_DD0,4
BaseWindow,0xDD4,field_DD4,4
BaseWindow,0xDD8,field_DD8,4
BaseWindow,0xDDC,field_DDC,4
BaseWindow,0xDE0,field_DE0,4
BaseWindow,0xDE4,field_DE4,4
BaseWindow,0xDE8,field_DE8,4
BaseWindow,0xDEC,field_DEC,4
BaseWindow,0xDF0,field_DF0,4
BaseWindow,0xDF4,field_DF4,4
BaseWindow,0xDF8,field_DF8,4
BaseWindow,0xDFC,field_DFC,4
BaseWindow,0xE00,field_E00,4
BaseWindow,0xE04,field_E04,4
BaseWindow,0xE08,field_E08,4
BaseWindow,0xE0C,field_E0C,4
BaseWindow,0xE10,field_E10,4
BaseWindow,0xE14,field_E14,4
BaseWindow,0xE18,field_E18,4
BaseWindow,0xE1C,field_E1C,4
BaseWindow,0xE20,field_E20,4
BaseWindow,0xE24,field_E24,4
BaseWindow,0xE28,field_E28,4
BaseWindow,0xE2C,field_E2C,4
BaseWindow,0xE30,field_E30,4
BaseWindow,0xE34,field_E34,4
BaseWindow,0xE38,field_E38,4
BaseWindow,0xE3C,field_E3C,4
BaseWindow,0xE40,field_E40,4
BaseWindow,0xE44,field_E44,4
BaseWindow,0xE48,field_E48,4
BaseWindow,0xE4C,field_E4C,4
BaseWindow,0xE50,field_E50,4
BaseWindow,0xE54,field_E54,4
BaseWindow,0xE58,field_E58,4
BaseWindow,0xE5C,field_E5C,4
BaseWindow,0xE60,field_E60,4
BaseWindow,0xE64,field_E64,4
BaseWindow,0xE68,field_E68,4
BaseWindow,0xE6C,field_E6C,4
BaseWindow,0xE70,field_E70,4
BaseWindow,0xE74,field_E74,4
BaseWindow,0xE78,field_E78,4
BaseWindow,0xE7C,field_E7C,4
BaseWindow,0xE80,field_E80,4
BaseWindow,0xE84,field_E84,4
BaseWindow,0xE88,field_E88,4
BaseWindow,0xE8C,field_E8C,4
BaseWindow,0xE90,field_E90,4
BaseWindow,0xE94,field_E94,4
BaseWindow,0xE98,field_E98,4
BaseWindow,0xE9C,field_E9C,4
BaseWindow,0xEA0,field_EA0,4
BaseWindow,0xEA4,field_EA4,4
BaseWindow,0xEA8,field_EA8,4
BaseWindow,0xEAC,field_EAC,4
BaseWindow,0xEB0,field_EB0,4
BaseWindow,0xEB4,field_EB4,4
BaseWindow,0xEB8,field_EB8,4
BaseWindow,0xEBC,field_EBC,4
BaseWindow,0xEC0,field_EC0,4
BaseWindow,0xEC4,field_EC4,4
BaseWindow,0xEC8,field_EC8,4
BaseWindow,0xECC,field_ECC,4
BaseWindow,0xED0,field_ED0,4
BaseWindow,0xED4,field_ED4,4
BaseWindow,0xED8,field_ED8,4
BaseWindow,0xEDC,field_EDC,4
BaseWindow,0xEE0,field_EE0,4
BaseWindow,0xEE4,field_EE4,4
BaseWindow,0xEE8,field_EE8,4
BaseWindow,0xEEC,field_EEC,4
BaseWindow,0xEF0,field_EF0,4
BaseWindow,0xEF4,field_EF4,4
BaseWindow,0xEF8,field_EF8,4
BaseWindow,0xEFC,field_EFC,4
BaseWindow,0xF00,field_F00,4
BaseWindow,0xF04,field_F04,4
BaseWindow,0xF08,field_F08,4
BaseWindow,0xF0C,field_F0C,4
BaseWindow,0xF10,field_F10,4
BaseWindow,0xF14,field_F14,4
